,City,Country,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
66,port alfred,za,-33.59,26.89,63.27,93,15.01,12
67,khatanga,ru,71.98,102.47,12.69,100,6.29,68
68,ushuaia,ar,-54.81,-68.31,42.8,75,4.7,20
69,nanortalik,gl,60.14,-45.24,31.32,100,6.06,36
71,georgetown,sh,-7.93,-14.42,78.97,100,12.66,76
72,lebu,cl,-37.62,-73.65,56.34,98,6.51,76
73,el vigia,ve,8.62,-71.65,56.16,93,1.7,12
74,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
75,katsuura,jp,33.93,134.5,68,45,4.7,20
76,tasiilaq,gl,65.61,-37.64,35.6,80,16.11,92
77,hobart,au,-42.88,147.33,59,51,6.93,75
78,cabo san lucas,mx,22.89,-109.91,74.39,53,11.41,20
80,port alfred,za,-33.59,26.89,63.27,93,15.01,12
81,dingle,ie,52.14,-10.27,50.17,95,11.77,100
82,bethel,us,60.79,-161.76,46.4,66,21.92,20
83,albany,au,-35.02,117.88,61.38,79,10.98,92
84,hilo,us,19.71,-155.08,73.4,88,5.82,90
85,padang,id,-0.92,100.36,80.91,100,4.05,8
86,vaini,to,-21.2,-175.2,82.4,69,8.05,75
87,kanniyakumari,in,8.08,77.57,86.04,98,9.42,32
88,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
89,tasiilaq,gl,65.61,-37.64,35.6,80,16.11,92
91,hermanus,za,-34.42,19.24,49.05,100,3.27,32
92,saldanha,za,-33.01,17.94,53.6,87,2.24,0
93,atuona,pf,-9.8,-139.03,81.72,100,15.68,36
94,kapaa,us,22.08,-159.32,77,78,13.87,75
95,tuktoyaktuk,ca,69.44,-133.03,-6.2,76,6.93,40
97,bathsheba,bb,13.22,-59.52,78.8,78,19.46,75
98,salalah,om,17.01,54.1,80.6,61,3.36,20
99,georgetown,sh,-7.93,-14.42,78.97,100,12.66,76
101,kapaa,us,22.08,-159.32,77,78,13.87,75
102,terrace,ca,54.52,-128.61,46.4,65,17.22,75
103,jiancheng,cn,30.39,104.55,77,61,2.24,36
105,iqaluit,ca,63.75,-68.52,3.2,77,18.34,5
106,nanortalik,gl,60.14,-45.24,31.32,100,6.06,36
107,pisco,pe,-13.71,-76.2,68,77,11.41,0
108,hammerfest,no,70.66,23.68,32,100,12.75,92
110,berlevag,no,70.86,29.09,30.2,63,20.8,75
111,busselton,au,-33.64,115.35,62.28,100,5.39,88
113,nikolskoye,ru,59.7,30.79,35.6,100,6.71,0
114,buchanan,lr,5.88,-10.05,77,94,6.51,75
115,menongue,ao,-14.66,17.68,58.9,79,3.38,0
116,ibra,om,22.69,58.55,69.34,56,1.92,0
117,nikolskoye,ru,59.7,30.79,35.6,100,6.71,0
118,novochernorechenskiy,ru,56.27,91.08,27.72,62,5.17,44
119,port elizabeth,za,-33.92,25.57,59,77,20.8,0
120,georgetown,sh,-7.93,-14.42,78.97,100,12.66,76
121,bambous virieux,mu,-20.34,57.76,78.8,88,3.36,75
122,williams lake,ca,52.13,-122.14,46.4,39,8.05,75
123,vicuna,cl,-30.03,-70.71,53.6,87,3.36,0
124,hermanus,za,-34.42,19.24,49.05,100,3.27,32
125,bethel,us,60.79,-161.76,46.4,66,21.92,20
126,east london,za,-33.02,27.91,67.99,100,24.96,0
127,isla mujeres,mx,21.23,-86.73,78.8,78,8.05,40
128,san miguel,ec,-1.71,-79.04,63.67,98,2.37,56
129,geilo,no,60.53,8.21,28.39,89,2.15,36
130,beidao,cn,34.57,105.89,64.71,61,15.68,20
131,khilok,ru,51.36,110.46,34.38,80,6.62,92
133,belyy yar,ru,53.6,91.39,35.6,40,2.24,0
134,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
135,kapaa,us,22.08,-159.32,77,78,13.87,75
136,hilo,us,19.71,-155.08,73.4,88,5.82,90
137,kolyvan,ru,55.31,82.74,33.8,43,11.18,0
138,bluff,nz,-46.6,168.33,56.29,94,37.71,100
139,port alfred,za,-33.59,26.89,63.27,93,15.01,12
140,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
141,clyde river,ca,70.47,-68.59,-7.61,83,3.15,1
142,avarua,ck,-21.21,-159.78,80.6,69,12.75,40
143,tazovskiy,ru,67.47,78.7,21.24,90,21.39,80
144,kaitangata,nz,-46.28,169.85,58.95,60,29.1,36
145,atambua,id,-9.11,124.89,86.04,91,1.92,0
146,hermanus,za,-34.42,19.24,49.05,100,3.27,32
148,popondetta,pg,-8.77,148.24,76.41,84,2.37,76
149,jamestown,sh,-15.94,-5.72,74.79,100,12.77,0
150,mar del plata,ar,-46.43,-67.52,64.3,55,22.39,64
152,cape town,za,-33.93,18.42,53.6,93,8.05,40
153,avarua,ck,-21.21,-159.78,80.6,69,12.75,40
154,skelleftea,se,64.75,20.95,39.2,77,10.29,20
155,khatanga,ru,71.98,102.47,12.69,100,6.29,68
156,uvalde,us,29.21,-99.79,72.14,77,15.79,1
157,ribeira grande,pt,38.52,-28.7,59.58,100,16.13,56
158,verkhnevilyuysk,ru,63.45,120.31,34.11,65,10.87,56
159,terney,ru,45.05,136.61,44.95,89,6.85,0
160,kaitangata,nz,-46.28,169.85,58.95,60,29.1,36
162,maua,ke,0.23,37.94,60.57,91,2.04,20
164,kapaa,us,22.08,-159.32,77,78,13.87,75
165,puerto carreno,co,6.19,-67.49,67.95,96,2.71,56
166,nikolayevsk-na-amure,ru,53.14,140.72,42.39,67,2.37,0
167,avarua,ck,-21.21,-159.78,80.6,69,12.75,40
168,kodiak,us,39.95,-94.76,39.2,60,9.17,75
169,sioux lookout,ca,50.1,-91.92,36.68,46,2.24,20
170,hobart,au,-42.88,147.33,59,51,6.93,75
171,ampanihy,mg,-24.69,44.75,63.85,90,2.93,20
172,geraldton,au,-28.77,114.6,69.8,52,8.05,20
173,ilek,ru,51.53,53.38,53.82,74,12.1,88
174,barrow,us,39.51,-90.4,38.98,74,19.46,90
176,carnarvon,au,-24.87,113.63,77.13,81,13.67,0
178,hastings,us,40.59,-98.39,33.31,80,6.93,1
179,plettenberg bay,za,-34.05,23.37,59.58,97,12.33,0
180,saint-francois,gp,16.25,-61.27,77,73,6.93,20
182,kiama,au,-34.67,150.86,78.8,41,5.82,0
183,romny,ru,50.73,129.29,60.3,43,11.99,0
184,estelle,us,32.87,-97.01,64.53,25,4.7,1
185,micheweni,tz,-4.97,39.83,79.02,100,18.48,80
186,dikson,ru,73.51,80.55,8.32,95,24.29,76
187,puerto ayora,ec,-0.74,-90.35,75.64,98,6.62,0
188,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
189,navalcarnero,es,40.29,-4.01,51.8,81,4.7,0
190,champerico,gt,14.3,-91.92,76.27,100,2.82,88
191,nuzvid,in,16.79,80.85,87.8,74,6.17,20
192,tarbagatay,ru,51.48,107.36,32,86,13.42,90
193,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
194,torbay,ca,47.66,-52.73,35.6,93,27.51,40
195,dharchula,in,29.85,80.53,44.14,73,1.7,20
196,matagami,ca,49.76,-77.63,26.6,79,20.8,90
197,ushuaia,ar,-54.81,-68.31,42.8,75,4.7,20
198,naberera,tz,-4.2,36.93,63.45,97,3.04,68
199,north augusta,us,33.5,-81.97,73.78,49,6.93,1
201,ilulissat,gl,69.22,-51.1,21.2,79,18.34,56
202,ushuaia,ar,-54.81,-68.31,42.8,75,4.7,20
203,yellowknife,ca,62.45,-114.38,24.8,68,11.41,75
204,ribeira grande,pt,38.52,-28.7,59.58,100,16.13,56
205,saint george,bm,32.38,-64.68,66.2,77,13.87,20
206,tasiilaq,gl,65.61,-37.64,35.6,80,16.11,92
207,pangody,ru,65.85,74.49,20.7,92,15.46,64
208,cacoal,br,-11.43,-61.44,71.5,94,2.04,8
209,bambous virieux,mu,-20.34,57.76,78.8,88,3.36,75
210,kalmunai,lk,7.42,81.82,81.45,92,3.83,36
211,isangel,vu,-19.55,169.27,77.76,100,19.82,88
212,port elizabeth,za,-33.92,25.57,59,77,20.8,0
213,puerto ayora,ec,-0.74,-90.35,75.64,98,6.62,0
214,chuy,uy,-33.69,-53.46,67.27,95,3.15,80
215,namatanai,pg,-3.66,152.44,84.24,100,6.62,8
216,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
217,jesup,us,31.61,-81.89,73.78,25,13.87,1
218,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
219,bushehr,ir,28.97,50.84,71.6,60,6.93,0
220,thompson,ca,55.74,-97.86,42.8,56,9.17,75
221,norman wells,ca,65.28,-126.83,17.6,48,17.22,75
222,san patricio,mx,19.22,-104.7,75.2,69,5.82,5
223,new norfolk,au,-42.78,147.06,59,51,6.93,75
224,meadow lake,ca,54.13,-108.44,32.89,83,7.96,0
225,chuy,uy,-33.69,-53.46,67.27,95,3.15,80
227,aldan,ru,58.61,125.39,29.47,69,9.19,88
228,novy hrozenkov,cz,49.34,18.2,43.68,81,2.24,0
229,yar-sale,ru,66.83,70.83,17.14,88,18.48,64
230,ushuaia,ar,-54.81,-68.31,42.8,75,4.7,20
231,kavieng,pg,-2.57,150.8,83.52,100,3.83,68
232,dingle,ie,52.14,-10.27,50.17,95,11.77,100
233,chokurdakh,ru,70.62,147.9,23.17,100,6.51,12
235,praia,cv,14.92,-23.51,68,77,16.11,40
236,yarensk,ru,62.17,49.09,32.04,87,2.71,68
237,mandasa,in,18.87,84.46,85.72,86,19.93,0
238,virginia beach,us,36.85,-75.98,53.24,93,5.82,1
239,mae sai,th,20.43,99.88,73.4,94,5.82,40
240,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
241,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
242,tura,ru,64.27,100.22,9.49,53,7.63,48
243,gizo,sb,-8.1,156.84,79.47,100,2.04,88
244,luderitz,na,-26.65,15.16,56.07,94,11.99,0
245,saint-joseph,re,-21.37,55.62,77,88,23.04,92
246,santa maria,cv,16.6,-22.9,68,72,14.99,75
247,manicore,br,-5.81,-61.3,76.54,92,2.04,20
248,luderitz,na,-26.65,15.16,56.07,94,11.99,0
249,presque isle,us,46.68,-68.02,35.04,95,5.82,75
250,pangnirtung,ca,66.15,-65.72,9.04,92,2.82,64
251,edinburg,us,26.3,-98.16,76.05,69,9.17,90
252,novyy urengoy,ru,66.08,76.63,22.95,91,17.36,92
253,flinders,au,-34.58,150.85,78.8,41,5.82,0
254,hilo,us,19.71,-155.08,73.4,88,5.82,90
255,albany,au,-35.02,117.88,61.38,79,10.98,92
256,nawa,sy,32.89,36.04,50.8,58,3.38,0
257,ciudad bolivar,ve,8.12,-63.55,82.39,63,13.44,56
258,souillac,mu,-20.52,57.52,78.8,88,3.36,75
260,ambon,id,-3.7,128.18,86.35,89,1.48,24
261,erzin,ru,50.26,95.16,34.6,66,7.18,24
262,busselton,au,-33.64,115.35,62.28,100,5.39,88
265,ilulissat,gl,69.22,-51.1,21.2,79,18.34,56
266,chara,ru,56.9,118.26,24.84,46,2.59,8
267,ponta do sol,pt,32.67,-17.1,62.6,82,14.99,75
268,albany,au,-35.02,117.88,61.38,79,10.98,92
269,cape town,za,-33.93,18.42,53.6,93,8.05,40
270,puerto ayora,ec,-0.74,-90.35,75.64,98,6.62,0
271,fairbanks,us,64.84,-147.72,41.04,32,13.87,1
272,sao joao da barra,br,-21.64,-41.05,78.07,100,7.96,88
274,taunggyi,mm,20.78,97.03,75.19,73,1.7,8
275,sakaiminato,jp,35.55,133.23,67.86,32,9.17,0
276,victoria,sc,-4.62,55.45,82.4,78,2.24,20
277,bandar-e lengeh,ir,26.56,54.88,68,82,6.93,0
278,iqaluit,ca,63.75,-68.52,3.2,77,18.34,5
279,georgetown,sh,-7.93,-14.42,78.97,100,12.66,76
280,mahina,pf,-17.51,-149.49,78.8,83,5.82,40
281,isangel,vu,-19.55,169.27,77.76,100,19.82,88
282,baijiantan,cn,45.63,85.18,55.84,35,13.22,56
285,atuona,pf,-9.8,-139.03,81.72,100,15.68,36
288,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
289,hilo,us,19.71,-155.08,73.4,88,5.82,90
290,greencastle,us,39.64,-86.86,41.95,65,20.8,90
291,cape town,za,-33.93,18.42,53.6,93,8.05,40
292,avarua,ck,-21.21,-159.78,80.6,69,12.75,40
293,khandyga,ru,62.65,135.58,43.2,45,3.71,0
295,batagay-alyta,ru,67.8,130.41,28.35,85,4.72,48
296,seoul,kr,37.57,126.98,60.78,21,8.05,0
297,cape town,za,-33.93,18.42,53.6,93,8.05,40
298,punta arenas,cl,-53.16,-70.91,41,80,17.22,40
299,beeville,us,28.4,-97.75,74.07,78,6.93,90
300,hasaki,jp,35.73,140.83,65.73,60,11.41,75
301,aykhal,ru,65.95,111.51,24.48,87,8.97,80
303,polyarnyy,ru,69.2,33.45,32,84,6.71,75
304,vila velha,br,-3.71,-38.6,80.6,88,8.05,40
305,bredasdorp,za,-34.53,20.04,57.2,76,9.17,20
306,albany,au,-35.02,117.88,61.38,79,10.98,92
307,bowen,au,-20.01,148.25,82.4,61,14.99,40
308,niamey,ne,13.52,2.11,84.2,13,4.7,0
309,hilo,us,19.71,-155.08,73.4,88,5.82,90
310,piranshahr,ir,36.7,45.14,29.92,73,1.48,0
313,amapa,br,-1.83,-56.23,75.6,93,2.59,24
314,darab,ir,28.75,54.55,36.67,82,2.59,0
315,margate,za,-30.86,30.37,72,95,21.05,56
316,kapaa,us,22.08,-159.32,77,78,13.87,75
317,ushuaia,ar,-54.81,-68.31,42.8,75,4.7,20
318,nome,us,30.04,-94.42,68.85,78,7.96,90
319,tuatapere,nz,-46.13,167.69,54.99,99,26.98,64
320,krasnoye,ru,44.87,39.46,53.6,76,8.95,0
322,resistencia,ar,-27.45,-58.99,76.06,78,8.05,0
323,griffin,us,33.25,-84.26,69.19,45,5.82,1
324,adrar,dz,27.87,-0.29,68,20,16.11,0
325,port macquarie,au,-31.43,152.91,77,50,9.17,48
326,daoukro,ci,7.06,-3.97,73.26,97,3.04,56
327,hobart,au,-42.88,147.33,59,51,6.93,75
328,punta arenas,cl,-53.16,-70.91,41,80,17.22,40
329,butaritari,ki,3.07,172.79,81.81,100,8.41,32
330,pala,td,9.37,14.91,72.94,67,6.4,8
331,kodiak,us,39.95,-94.76,39.2,60,9.17,75
332,new norfolk,au,-42.78,147.06,59,51,6.93,75
333,bontang,id,0.12,117.47,82.17,100,1.14,68
334,viedma,ar,-40.81,-62.99,55.3,48,10.76,0
335,lima,pe,-12.06,-77.04,56.65,89,2.15,8
336,elizabeth city,us,36.3,-76.22,57.29,77,4.7,1
337,camacha,pt,33.08,-16.33,62.6,82,14.99,40
338,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
339,kodiak,us,39.95,-94.76,39.2,60,9.17,75
340,new norfolk,au,-42.78,147.06,59,51,6.93,75
341,paamiut,gl,61.99,-49.67,30.33,100,5.39,80
342,hithadhoo,mv,-0.6,73.08,80.73,100,11.65,92
343,kieta,pg,-6.22,155.63,80.19,100,1.92,92
345,kaitangata,nz,-46.28,169.85,58.95,60,29.1,36
347,sobolevo,ru,54.43,31.9,46.17,97,21.39,92
348,kapaa,us,22.08,-159.32,77,78,13.87,75
349,neiafu,to,-18.65,-173.98,82.4,78,11.41,75
350,marrakesh,ma,31.63,-7.99,54.45,60,3.04,0
352,rio gallegos,ar,-51.62,-69.22,44.6,87,3.83,0
353,albany,au,-35.02,117.88,61.38,79,10.98,92
354,chumikan,ru,54.72,135.31,46.8,56,0.69,0
355,rio grande,br,-32.03,-52.1,72.27,85,9.19,48
356,albany,au,-35.02,117.88,61.38,79,10.98,92
357,thompson,ca,55.74,-97.86,42.8,56,9.17,75
358,east london,za,-33.02,27.91,67.99,100,24.96,0
359,cherskiy,ru,68.75,161.3,28.62,79,3.94,56
360,ushuaia,ar,-54.81,-68.31,42.8,75,4.7,20
361,bagdarin,ru,54.44,113.59,28.26,27,5.5,76
362,conde,br,-11.81,-37.61,78.34,93,4.94,92
363,libertador general san martin,ar,-23.81,-64.79,68,88,3.36,75
364,quarai,br,-30.39,-56.45,72.27,72,7.07,44
365,noumea,nc,-22.28,166.46,82.4,54,20.8,40
367,georgetown,sh,-7.93,-14.42,78.97,100,12.66,76
368,nome,us,30.04,-94.42,68.85,78,7.96,90
369,camacha,pt,33.08,-16.33,62.6,82,14.99,40
370,cidreira,br,-30.17,-50.22,65.43,94,5.95,12
371,chuy,uy,-33.69,-53.46,67.27,95,3.15,80
372,pevek,ru,69.7,170.27,29.34,92,2.82,12
373,champerico,gt,14.3,-91.92,76.27,100,2.82,88
374,punta arenas,cl,-53.16,-70.91,41,80,17.22,40
375,atuona,pf,-9.8,-139.03,81.72,100,15.68,36
376,kautokeino,no,69.01,23.04,28.75,93,2.59,92
377,pangnirtung,ca,66.15,-65.72,9.04,92,2.82,64
378,thompson,ca,55.74,-97.86,42.8,56,9.17,75
379,vila franca do campo,pt,37.72,-25.43,50,76,6.93,20
380,albany,au,-35.02,117.88,61.38,79,10.98,92
381,beloha,mg,-25.17,45.06,69.25,82,9.31,36
382,harrogate,gb,53.99,-1.54,54.34,81,8.05,0
383,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
384,bambous virieux,mu,-20.34,57.76,78.8,88,3.36,75
385,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
386,cape town,za,-33.93,18.42,53.6,93,8.05,40
387,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
388,santa fe,cu,23.13,-82.26,71.6,78,9.17,20
389,dukat,ru,62.55,155.55,22.27,86,4.05,76
390,atlantic beach,us,30.33,-81.4,69.75,52,5.82,1
391,punta arenas,cl,-53.16,-70.91,41,80,17.22,40
392,hermanus,za,-34.42,19.24,49.05,100,3.27,32
393,saldanha,za,-33.01,17.94,53.6,87,2.24,0
394,kloulklubed,pw,7.04,134.26,87.12,74,11.41,75
395,port alfred,za,-33.59,26.89,63.27,93,15.01,12
397,bilibino,ru,68.06,166.44,34.92,70,3.15,36
398,mar del plata,ar,-46.43,-67.52,64.3,55,22.39,64
399,victoria,sc,-4.62,55.45,82.4,78,2.24,20
400,punta arenas,cl,-53.16,-70.91,41,80,17.22,40
401,dingle,ie,52.14,-10.27,50.17,95,11.77,100
402,poum,nc,-20.23,164.02,80.64,96,14,100
403,provideniya,ru,64.42,-173.23,35.6,64,17.9,40
404,salalah,om,17.01,54.1,80.6,61,3.36,20
405,velyka bilozerka,ua,47.27,34.68,49.77,83,9.86,0
406,bambous virieux,mu,-20.34,57.76,78.8,88,3.36,75
407,qaqortoq,gl,60.72,-46.03,33.8,86,1.12,64
408,hithadhoo,mv,-0.6,73.08,80.73,100,11.65,92
409,ushuaia,ar,-54.81,-68.31,42.8,75,4.7,20
411,somerset,us,41.77,-71.13,44.74,56,5.82,1
412,provideniya,ru,64.42,-173.23,35.6,64,17.9,40
413,port hueneme,us,34.15,-119.2,59.95,76,13.87,40
414,kavieng,pg,-2.57,150.8,83.52,100,3.83,68
415,flinders,au,-34.58,150.85,78.8,41,5.82,0
416,ushuaia,ar,-54.81,-68.31,42.8,75,4.7,20
417,bud,no,62.91,6.91,45.32,93,8.05,100
420,atuona,pf,-9.8,-139.03,81.72,100,15.68,36
421,avarua,ck,-21.21,-159.78,80.6,69,12.75,40
422,hilo,us,19.71,-155.08,73.4,88,5.82,90
423,ushuaia,ar,-54.81,-68.31,42.8,75,4.7,20
424,punta arenas,cl,-53.16,-70.91,41,80,17.22,40
425,port hardy,ca,50.7,-127.42,50,66,11.41,40
426,new norfolk,au,-42.78,147.06,59,51,6.93,75
428,tasiilaq,gl,65.61,-37.64,35.6,80,16.11,92
429,kapaa,us,22.08,-159.32,77,78,13.87,75
430,castro,cl,-42.48,-73.76,56.43,96,9.64,92
431,avarua,ck,-21.21,-159.78,80.6,69,12.75,40
432,hamilton,bm,32.3,-64.78,66.2,77,13.87,20
433,saldanha,za,-33.01,17.94,53.6,87,2.24,0
434,epernay,fr,45.45,5.88,50.56,87,2.15,0
435,arraial do cabo,br,-22.97,-42.02,71.82,97,8.63,24
436,rexburg,us,43.82,-111.79,46.27,31,5.82,1
438,lieksa,fi,63.32,30.02,30.15,86,2.59,0
439,ushuaia,ar,-54.81,-68.31,42.8,75,4.7,20
441,odessa,us,31.85,-102.37,64.4,13,5.82,0
442,albany,au,-35.02,117.88,61.38,79,10.98,92
443,port alfred,za,-33.59,26.89,63.27,93,15.01,12
444,cangzhou,cn,38.3,116.85,78.66,69,8.86,0
445,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
446,dali,cn,25.6,100.24,55.08,100,2.04,88
447,shiraz,ir,29.61,52.54,44.6,56,2.26,0
448,havelock,us,34.88,-76.9,64.44,67,11.41,1
449,punta arenas,cl,-53.16,-70.91,41,80,17.22,40
450,veraval,in,20.9,70.37,81.4,78,11.54,0
451,butaritari,ki,3.07,172.79,81.81,100,8.41,32
452,albany,au,-35.02,117.88,61.38,79,10.98,92
453,yulara,au,-25.24,130.99,87.8,16,9.17,68
454,ribeira grande,pt,38.52,-28.7,59.58,100,16.13,56
455,margate,za,-30.86,30.37,72,95,21.05,56
457,moranbah,au,-22,148.04,84.78,47,10.98,8
458,kontagora,ng,10.4,5.47,79.2,64,9.98,12
459,clovis,us,36.83,-119.7,63.36,42,6.93,75
460,lebu,cl,-37.62,-73.65,56.34,98,6.51,76
461,chuy,uy,-33.69,-53.46,67.27,95,3.15,80
462,caravelas,br,-17.73,-39.27,79.02,100,16.46,56
463,busselton,au,-33.64,115.35,62.28,100,5.39,88
464,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
465,missoula,us,46.87,-114,46.4,36,12.75,1
466,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
467,chuy,uy,-33.69,-53.46,67.27,95,3.15,80
468,panama city,us,30.16,-85.65,69.8,88,9.17,1
470,vaini,to,-21.2,-175.2,82.4,69,8.05,75
471,geraldton,au,-28.77,114.6,69.8,52,8.05,20
473,klaksvik,fo,62.23,-6.59,48.2,93,24.16,76
474,butaritari,ki,3.07,172.79,81.81,100,8.41,32
475,coihaique,cl,-45.58,-72.07,57.2,71,10.29,90
477,santiago,ph,16.69,121.54,81.09,97,2.71,32
478,vaini,to,-21.2,-175.2,82.4,69,8.05,75
479,nikolskoye,ru,59.7,30.79,35.6,100,6.71,0
480,jamestown,sh,-15.94,-5.72,74.79,100,12.77,0
481,maiduguri,ng,11.84,13.15,77.13,62,6.06,36
482,saint george,bm,32.38,-64.68,66.2,77,13.87,20
484,smithers,ca,54.78,-127.17,46.4,49,5.82,75
485,san felipe,mx,31.02,-114.84,68.49,97,12.21,0
486,katsuura,jp,33.93,134.5,68,45,4.7,20
487,ushuaia,ar,-54.81,-68.31,42.8,75,4.7,20
488,tuktoyaktuk,ca,69.44,-133.03,-6.2,76,6.93,40
489,hilo,us,19.71,-155.08,73.4,88,5.82,90
490,faanui,pf,-16.48,-151.75,80.55,100,8.63,12
491,basco,ph,20.45,121.97,76.72,100,15.68,20
493,kahului,us,20.89,-156.47,74.37,61,18.34,75
494,sitka,us,37.17,-99.65,54,27,8.41,0
495,puerto ayora,ec,-0.74,-90.35,75.64,98,6.62,0
496,pitea,se,65.32,21.48,37.4,74,9.17,44
497,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
500,bud,no,62.91,6.91,45.32,93,8.05,100
501,port alfred,za,-33.59,26.89,63.27,93,15.01,12
502,hilo,us,19.71,-155.08,73.4,88,5.82,90
503,egvekinot,ru,66.32,-179.17,29.47,90,4.72,44
504,arlit,ne,18.74,7.39,63.85,21,2.82,0
505,pedasi,pa,7.53,-80.03,81,94,21.05,32
506,maple creek,ca,49.91,-109.46,36.67,66,5.5,0
507,bilma,ne,18.69,12.92,77.13,16,6.4,68
508,rajapur,in,25.39,81.15,92.61,20,5.39,0
509,puerto escondido,mx,15.86,-97.07,84.51,100,8.63,24
511,hami,cn,42.84,93.51,64.89,44,7.4,64
512,penzance,gb,50.12,-5.53,46.4,93,6.93,20
513,mar del plata,ar,-46.43,-67.52,64.3,55,22.39,64
514,santiago de cao,pe,-7.96,-79.24,66.2,88,6.93,12
515,butaritari,ki,3.07,172.79,81.81,100,8.41,32
516,bukachacha,ru,52.99,116.91,37.53,27,4.38,92
